round,sample,type,stage,status,seconds,artifact_dir,evaluation_md
1,BatchTransferFromMissingAuth,vulnerable,auto_llm_generate_v2,0,222.383,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/BatchTransferFromMissingAuth_qwen3_coder_30b,
1,CompoundStyleTransferFromWrongSpender,vulnerable,auto_llm_evaluate_v2,0,1.508,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/CompoundStyleTransferFromWrongSpender_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/CompoundStyleTransferFromWrongSpender_evaluation.md
1,CompoundStyleTransferFromWrongSpender,vulnerable,auto_llm_generate_v2,0,280.405,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/CompoundStyleTransferFromWrongSpender_qwen3_coder_30b,
1,DelegatedTransferMissingAuth,vulnerable,auto_llm_evaluate_v2,0,1.249,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/DelegatedTransferMissingAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/DelegatedTransferMissingAuth_evaluation.md
1,DelegatedTransferMissingAuth,vulnerable,auto_llm_generate_v2,0,159.634,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/DelegatedTransferMissingAuth_qwen3_coder_30b,
1,ERC1155TransferMissingOperator,vulnerable,auto_llm_evaluate_v2,0,1.241,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/ERC1155TransferMissingOperator_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/ERC1155TransferMissingOperator_evaluation.md
1,ERC1155TransferMissingOperator,vulnerable,auto_llm_generate_v2,0,186.798,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/ERC1155TransferMissingOperator_qwen3_coder_30b,
1,InternalMoveExposed,vulnerable,auto_llm_evaluate_v2,0,1.251,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/InternalMoveExposed_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/InternalMoveExposed_evaluation.md
1,InternalMoveExposed,vulnerable,auto_llm_generate_v2,0,192.020,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/InternalMoveExposed_qwen3_coder_30b,
1,MissingAllowanceTransferFrom,vulnerable,auto_llm_evaluate_v2,0,1.158,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/MissingAllowanceTransferFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/MissingAllowanceTransferFrom_evaluation.md
1,MissingAllowanceTransferFrom,vulnerable,auto_llm_generate_v2,0,162.451,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/MissingAllowanceTransferFrom_qwen3_coder_30b,
1,NFTTransferFromMissingApproval,vulnerable,auto_llm_evaluate_v2,0,1.396,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/NFTTransferFromMissingApproval_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/NFTTransferFromMissingApproval_evaluation.md
1,NFTTransferFromMissingApproval,vulnerable,auto_llm_generate_v2,0,161.039,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/NFTTransferFromMissingApproval_qwen3_coder_30b,
1,OZERC1155BatchMissingOperatorRealCrop,vulnerable,auto_llm_evaluate_v2,0,1.501,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155BatchMissingOperatorRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC1155BatchMissingOperatorRealCrop_evaluation.md
1,OZERC1155BatchMissingOperatorRealCrop,vulnerable,auto_llm_generate_v2,0,251.883,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155BatchMissingOperatorRealCrop_qwen3_coder_30b,
1,OZERC1155MissingOperatorSafeTransfer,vulnerable,auto_llm_evaluate_v2,0,1.573,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155MissingOperatorSafeTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC1155MissingOperatorSafeTransfer_evaluation.md
1,OZERC1155MissingOperatorSafeTransfer,vulnerable,auto_llm_generate_v2,0,225.641,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155MissingOperatorSafeTransfer_qwen3_coder_30b,
1,OZERC1155SafeBatchTransferRealCrop,safe,auto_llm_evaluate_v2,0,1.484,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155SafeBatchTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC1155SafeBatchTransferRealCrop_evaluation.md
1,OZERC1155SafeBatchTransferRealCrop,safe,auto_llm_generate_v2,0,243.766,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155SafeBatchTransferRealCrop_qwen3_coder_30b,
1,OZERC1155SafeOperatorRealCrop,safe,auto_llm_evaluate_v2,0,1.509,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155SafeOperatorRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC1155SafeOperatorRealCrop_evaluation.md
1,OZERC1155SafeOperatorRealCrop,safe,auto_llm_generate_v2,0,247.118,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155SafeOperatorRealCrop_qwen3_coder_30b,
1,OZERC1155SafeTransferRealCrop,safe,auto_llm_evaluate_v2,0,1.490,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155SafeTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC1155SafeTransferRealCrop_evaluation.md
1,OZERC1155SafeTransferRealCrop,safe,auto_llm_generate_v2,0,346.073,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155SafeTransferRealCrop_qwen3_coder_30b,
1,OZERC1155WrongOperatorDirection,vulnerable,auto_llm_evaluate_v2,0,1.623,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155WrongOperatorDirection_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC1155WrongOperatorDirection_evaluation.md
1,OZERC1155WrongOperatorDirection,vulnerable,auto_llm_generate_v2,0,259.252,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC1155WrongOperatorDirection_qwen3_coder_30b,
1,OZERC20AllowanceNotDecreasedRealCrop,vulnerable,auto_llm_evaluate_v2,0,1.290,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20AllowanceNotDecreasedRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20AllowanceNotDecreasedRealCrop_evaluation.md
1,OZERC20AllowanceNotDecreasedRealCrop,vulnerable,auto_llm_generate_v2,0,180.755,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20AllowanceNotDecreasedRealCrop_qwen3_coder_30b,
1,OZERC20MissingAllowanceTransferFrom,vulnerable,auto_llm_evaluate_v2,0,1.124,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20MissingAllowanceTransferFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20MissingAllowanceTransferFrom_evaluation.md
1,OZERC20MissingAllowanceTransferFrom,vulnerable,auto_llm_generate_v2,0,191.370,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20MissingAllowanceTransferFrom_qwen3_coder_30b,
1,OZERC20PermitNoSignatureRealCrop,vulnerable,auto_llm_evaluate_v2,0,0.394,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20PermitNoSignatureRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20PermitNoSignatureRealCrop_evaluation.md
1,OZERC20PermitNoSignatureRealCrop,vulnerable,auto_llm_generate_v2,0,188.012,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20PermitNoSignatureRealCrop_qwen3_coder_30b,
1,OZERC20PublicBurnFromRealCrop,vulnerable,auto_llm_evaluate_v2,0,0.428,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20PublicBurnFromRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20PublicBurnFromRealCrop_evaluation.md
1,OZERC20PublicBurnFromRealCrop,vulnerable,auto_llm_generate_v2,0,161.928,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20PublicBurnFromRealCrop_qwen3_coder_30b,
1,OZERC20SafeBurnFromAllowanceRealCrop,safe,auto_llm_evaluate_v2,0,1.537,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20SafeBurnFromAllowanceRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20SafeBurnFromAllowanceRealCrop_evaluation.md
1,OZERC20SafeBurnFromAllowanceRealCrop,safe,auto_llm_generate_v2,0,180.679,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20SafeBurnFromAllowanceRealCrop_qwen3_coder_30b,
1,OZERC20SafePermitTransferRealCrop,safe,auto_llm_evaluate_v2,0,1.497,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20SafePermitTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20SafePermitTransferRealCrop_evaluation.md
1,OZERC20SafePermitTransferRealCrop,safe,auto_llm_generate_v2,0,272.475,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20SafePermitTransferRealCrop_qwen3_coder_30b,
1,OZERC20SafeTransferFromRealCrop,safe,auto_llm_evaluate_v2,0,1.509,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20SafeTransferFromRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20SafeTransferFromRealCrop_evaluation.md
1,OZERC20SafeTransferFromRealCrop,safe,auto_llm_generate_v2,0,214.444,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20SafeTransferFromRealCrop_qwen3_coder_30b,
1,OZERC20WrongAllowanceOwnerRealCrop,vulnerable,auto_llm_evaluate_v2,0,1.199,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20WrongAllowanceOwnerRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC20WrongAllowanceOwnerRealCrop_evaluation.md
1,OZERC20WrongAllowanceOwnerRealCrop,vulnerable,auto_llm_generate_v2,0,173.398,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC20WrongAllowanceOwnerRealCrop_qwen3_coder_30b,
1,OZERC4626SafeRedeemFromRealCrop,safe,auto_llm_evaluate_v2,0,0.305,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626SafeRedeemFromRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC4626SafeRedeemFromRealCrop_evaluation.md
1,OZERC4626SafeRedeemFromRealCrop,safe,auto_llm_generate_v2,0,237.316,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626SafeRedeemFromRealCrop_qwen3_coder_30b,
1,OZERC4626SafeWithdrawFromRealCrop,safe,auto_llm_evaluate_v2,0,1.490,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626SafeWithdrawFromRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC4626SafeWithdrawFromRealCrop_evaluation.md
1,OZERC4626SafeWithdrawFromRealCrop,safe,auto_llm_generate_v2,0,234.786,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626SafeWithdrawFromRealCrop_qwen3_coder_30b,
1,OZERC4626WithdrawAllowanceNotDecreased,vulnerable,auto_llm_evaluate_v2,0,1.511,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626WithdrawAllowanceNotDecreased_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC4626WithdrawAllowanceNotDecreased_evaluation.md
1,OZERC4626WithdrawAllowanceNotDecreased,vulnerable,auto_llm_generate_v2,0,252.626,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626WithdrawAllowanceNotDecreased_qwen3_coder_30b,
1,OZERC4626WithdrawMissingOwnerAuth,vulnerable,auto_llm_evaluate_v2,0,1.477,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626WithdrawMissingOwnerAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC4626WithdrawMissingOwnerAuth_evaluation.md
1,OZERC4626WithdrawMissingOwnerAuth,vulnerable,auto_llm_generate_v2,0,234.145,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626WithdrawMissingOwnerAuth_qwen3_coder_30b,
1,OZERC4626WithdrawWrongOwnerAuth,vulnerable,auto_llm_evaluate_v2,0,1.500,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626WithdrawWrongOwnerAuth_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC4626WithdrawWrongOwnerAuth_evaluation.md
1,OZERC4626WithdrawWrongOwnerAuth,vulnerable,auto_llm_generate_v2,0,268.862,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC4626WithdrawWrongOwnerAuth_qwen3_coder_30b,
1,OZERC721MissingApprovalTransferFrom,vulnerable,auto_llm_evaluate_v2,0,1.486,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721MissingApprovalTransferFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC721MissingApprovalTransferFrom_evaluation.md
1,OZERC721MissingApprovalTransferFrom,vulnerable,auto_llm_generate_v2,0,152.612,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721MissingApprovalTransferFrom_qwen3_coder_30b,
1,OZERC721PublicBurnFrom,vulnerable,auto_llm_evaluate_v2,1,0.084,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721PublicBurnFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC721PublicBurnFrom_evaluation.md
1,OZERC721PublicBurnFrom,vulnerable,auto_llm_generate_v2,0,103.712,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721PublicBurnFrom_qwen3_coder_30b,
1,OZERC721SafeOperatorTransferRealCrop,safe,auto_llm_evaluate_v2,1,0.001,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721SafeOperatorTransferRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC721SafeOperatorTransferRealCrop_evaluation.md
1,OZERC721SafeOperatorTransferRealCrop,safe,auto_llm_generate_v2,1,0.301,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721SafeOperatorTransferRealCrop_qwen3_coder_30b,
1,OZERC721SafeTransferFromRealCrop,safe,auto_llm_evaluate_v2,1,0.001,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721SafeTransferFromRealCrop_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC721SafeTransferFromRealCrop_evaluation.md
1,OZERC721SafeTransferFromRealCrop,safe,auto_llm_generate_v2,1,0.341,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721SafeTransferFromRealCrop_qwen3_coder_30b,
1,OZERC721WrongOperatorDirection,vulnerable,auto_llm_evaluate_v2,0,1.530,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721WrongOperatorDirection_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OZERC721WrongOperatorDirection_evaluation.md
1,OZERC721WrongOperatorDirection,vulnerable,auto_llm_generate_v2,0,173.639,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OZERC721WrongOperatorDirection_qwen3_coder_30b,
1,OnlyToCheckedTransfer,vulnerable,auto_llm_evaluate_v2,0,1.178,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OnlyToCheckedTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/OnlyToCheckedTransfer_evaluation.md
1,OnlyToCheckedTransfer,vulnerable,auto_llm_generate_v2,0,133.933,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/OnlyToCheckedTransfer_qwen3_coder_30b,
1,PermitNonceMissingTransfer,vulnerable,auto_llm_evaluate_v2,0,0.496,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/PermitNonceMissingTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/PermitNonceMissingTransfer_evaluation.md
1,PermitNonceMissingTransfer,vulnerable,auto_llm_generate_v2,0,71.710,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/PermitNonceMissingTransfer_qwen3_coder_30b,
1,PublicBurnFrom,vulnerable,auto_llm_evaluate_v2,0,1.387,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/PublicBurnFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/PublicBurnFrom_evaluation.md
1,PublicBurnFrom,vulnerable,auto_llm_generate_v2,0,160.884,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/PublicBurnFrom_qwen3_coder_30b,
1,RoleBypassTransfer,vulnerable,auto_llm_evaluate_v2,0,1.260,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/RoleBypassTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/RoleBypassTransfer_evaluation.md
1,RoleBypassTransfer,vulnerable,auto_llm_generate_v2,0,152.157,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/RoleBypassTransfer_qwen3_coder_30b,
1,SafeBatchTransferFrom,safe,auto_llm_evaluate_v2,0,1.266,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeBatchTransferFrom_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/SafeBatchTransferFrom_evaluation.md
1,SafeBatchTransferFrom,safe,auto_llm_generate_v2,0,275.081,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeBatchTransferFrom_qwen3_coder_30b,
1,SafeBurnFromWithAllowance,safe,auto_llm_evaluate_v2,0,1.181,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeBurnFromWithAllowance_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/SafeBurnFromWithAllowance_evaluation.md
1,SafeBurnFromWithAllowance,safe,auto_llm_generate_v2,0,196.799,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeBurnFromWithAllowance_qwen3_coder_30b,
1,SafeInternalMove,safe,auto_llm_evaluate_v2,0,0.413,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeInternalMove_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/SafeInternalMove_evaluation.md
1,SafeInternalMove,safe,auto_llm_generate_v2,0,116.668,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeInternalMove_qwen3_coder_30b,
1,SafeRoleCheckedTransfer,safe,auto_llm_evaluate_v2,0,1.219,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeRoleCheckedTransfer_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/SafeRoleCheckedTransfer_evaluation.md
1,SafeRoleCheckedTransfer,safe,auto_llm_generate_v2,0,168.139,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeRoleCheckedTransfer_qwen3_coder_30b,
1,SafeTransferFromWithAllowance,safe,auto_llm_evaluate_v2,0,0.451,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeTransferFromWithAllowance_qwen3_coder_30b,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/evaluations/SafeTransferFromWithAllowance_evaluation.md
1,SafeTransferFromWithAllowance,safe,auto_llm_generate_v2,0,172.710,/home/tianlang/smart-audit-llm/reports/publish_exp_60_system_repeat_keep/round_1/artifacts/SafeTransferFromWithAllowance_qwen3_coder_30b,
