sample,type,method,status,seconds,detected
OZERC721PublicBurnFrom,vulnerable,smartbugs2_slither,1,2.732,1
OZERC721PublicBurnFrom,vulnerable,gptscan,0,0.805,1
SolmateERC721MissingApprovalTransferFrom,vulnerable,slither,255,0.237,1
SolmateERC721MissingApprovalTransferFrom,vulnerable,smartbugs2_slither,1,2.378,1
SolmateERC721MissingApprovalTransferFrom,vulnerable,gptscan,0,0.824,1
SolmateERC721WrongOperatorDirection,vulnerable,slither,255,0.262,1
SolmateERC721WrongOperatorDirection,vulnerable,smartbugs2_slither,1,1.840,1
SolmateERC721WrongOperatorDirection,vulnerable,gptscan,0,0.753,1
OZERC1155MissingOperatorSafeTransfer,vulnerable,slither,255,0.253,1
OZERC1155MissingOperatorSafeTransfer,vulnerable,smartbugs2_slither,1,2.148,1
OZERC1155MissingOperatorSafeTransfer,vulnerable,gptscan,0,2.918,1
OZERC1155WrongOperatorDirection,vulnerable,slither,255,0.265,1
OZERC1155WrongOperatorDirection,vulnerable,smartbugs2_slither,1,2.775,1
OZERC1155WrongOperatorDirection,vulnerable,gptscan,0,1.052,1
OZERC1155BatchMissingOperatorRealCrop,vulnerable,slither,255,0.234,1
OZERC1155BatchMissingOperatorRealCrop,vulnerable,smartbugs2_slither,1,2.305,1
OZERC1155BatchMissingOperatorRealCrop,vulnerable,gptscan,0,2.666,1
OZERC4626WithdrawMissingOwnerAuth,vulnerable,slither,255,0.229,1
OZERC4626WithdrawMissingOwnerAuth,vulnerable,smartbugs2_slither,1,3.422,1
OZERC4626WithdrawMissingOwnerAuth,vulnerable,gptscan,0,0.799,1
OZERC4626WithdrawWrongOwnerAuth,vulnerable,slither,255,0.283,1
OZERC4626WithdrawWrongOwnerAuth,vulnerable,smartbugs2_slither,1,1.778,1
OZERC4626WithdrawWrongOwnerAuth,vulnerable,gptscan,0,0.805,1
OZERC4626WithdrawAllowanceNotDecreased,vulnerable,slither,255,0.245,1
OZERC4626WithdrawAllowanceNotDecreased,vulnerable,smartbugs2_slither,1,2.953,1
OZERC4626WithdrawAllowanceNotDecreased,vulnerable,gptscan,0,0.753,1
AccessControlRoleBypassTransferRealCrop,vulnerable,slither,255,0.244,1
AccessControlRoleBypassTransferRealCrop,vulnerable,smartbugs2_slither,1,1.362,1
AccessControlRoleBypassTransferRealCrop,vulnerable,gptscan,0,2.852,1
AccessControlWrongRoleTransferRealCrop,vulnerable,slither,255,0.248,1
AccessControlWrongRoleTransferRealCrop,vulnerable,smartbugs2_slither,1,2.337,1
AccessControlWrongRoleTransferRealCrop,vulnerable,gptscan,0,2.899,1
CompoundStyleTransferFromWrongSpender,vulnerable,slither,255,0.244,1
CompoundStyleTransferFromWrongSpender,vulnerable,smartbugs2_slither,1,2.458,1
CompoundStyleTransferFromWrongSpender,vulnerable,gptscan,0,2.705,1
AaveVaultWithdrawFromMissingAuth,vulnerable,slither,255,0.231,1
AaveVaultWithdrawFromMissingAuth,vulnerable,smartbugs2_slither,1,2.559,1
AaveVaultWithdrawFromMissingAuth,vulnerable,gptscan,0,0.831,1
OZERC20SafeTransferFromRealCrop,safe,slither,255,0.242,1
OZERC20SafeTransferFromRealCrop,safe,smartbugs2_slither,1,2.076,1
OZERC20SafeTransferFromRealCrop,safe,gptscan,0,2.875,1
UniswapV2SafeTransferFromRealCrop,safe,slither,255,0.252,1
UniswapV2SafeTransferFromRealCrop,safe,smartbugs2_slither,1,3.754,1
UniswapV2SafeTransferFromRealCrop,safe,gptscan,0,0.793,1
SolmateERC20SafeTransferFromRealCrop,safe,slither,255,0.253,1
SolmateERC20SafeTransferFromRealCrop,safe,smartbugs2_slither,1,3.640,1
SolmateERC20SafeTransferFromRealCrop,safe,gptscan,0,2.785,1
OZERC20SafeBurnFromAllowanceRealCrop,safe,slither,255,0.252,1
OZERC20SafeBurnFromAllowanceRealCrop,safe,smartbugs2_slither,1,2.361,1
OZERC20SafeBurnFromAllowanceRealCrop,safe,gptscan,0,2.603,1
OZERC20SafePermitTransferRealCrop,safe,slither,255,0.245,1
OZERC20SafePermitTransferRealCrop,safe,smartbugs2_slither,1,1.766,1
OZERC20SafePermitTransferRealCrop,safe,gptscan,0,0.626,1
OZERC721SafeTransferFromRealCrop,safe,slither,1,0.266,1
OZERC721SafeTransferFromRealCrop,safe,smartbugs2_slither,1,2.573,1
OZERC721SafeTransferFromRealCrop,safe,gptscan,0,0.792,1
OZERC721SafeOperatorTransferRealCrop,safe,slither,1,0.233,1
OZERC721SafeOperatorTransferRealCrop,safe,smartbugs2_slither,1,1.974,1
OZERC721SafeOperatorTransferRealCrop,safe,gptscan,0,0.801,1
SolmateERC721SafeTransferRealCrop,safe,slither,1,0.246,1
SolmateERC721SafeTransferRealCrop,safe,smartbugs2_slither,1,2.668,1
SolmateERC721SafeTransferRealCrop,safe,gptscan,0,0.744,1
OZERC1155SafeTransferRealCrop,safe,slither,255,0.269,1
OZERC1155SafeTransferRealCrop,safe,smartbugs2_slither,1,2.215,1
OZERC1155SafeTransferRealCrop,safe,gptscan,0,2.805,1
OZERC1155SafeBatchTransferRealCrop,safe,slither,255,0.256,1
OZERC1155SafeBatchTransferRealCrop,safe,smartbugs2_slither,1,0.696,1
OZERC1155SafeBatchTransferRealCrop,safe,gptscan,0,2.638,1
OZERC1155SafeOperatorRealCrop,safe,slither,255,0.252,1
OZERC1155SafeOperatorRealCrop,safe,smartbugs2_slither,1,2.392,1
OZERC1155SafeOperatorRealCrop,safe,gptscan,0,2.618,1
OZERC4626SafeWithdrawFromRealCrop,safe,slither,255,0.234,1
OZERC4626SafeWithdrawFromRealCrop,safe,smartbugs2_slither,1,3.339,1
OZERC4626SafeWithdrawFromRealCrop,safe,gptscan,0,0.854,1
OZERC4626SafeRedeemFromRealCrop,safe,slither,255,0.232,1
OZERC4626SafeRedeemFromRealCrop,safe,smartbugs2_slither,1,2.346,1
OZERC4626SafeRedeemFromRealCrop,safe,gptscan,0,0.804,1
AccessControlSafeRoleTransferRealCrop,safe,slither,255,0.257,1
AccessControlSafeRoleTransferRealCrop,safe,smartbugs2_slither,1,1.686,1
AccessControlSafeRoleTransferRealCrop,safe,gptscan,0,2.750,1
VaultSafeDelegatedWithdrawRealCrop,safe,slither,255,0.263,1
VaultSafeDelegatedWithdrawRealCrop,safe,smartbugs2_slither,1,2.734,1
VaultSafeDelegatedWithdrawRealCrop,safe,gptscan,0,0.802,1
UnauthorizedTokenTransfer,vulnerable,semgrep_custom,0,2.724,1
MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.801,1
WrongAllowanceOwner,vulnerable,semgrep_custom,0,2.798,1
OnlyToCheckedTransfer,vulnerable,semgrep_custom,0,2.675,1
PublicBurnFrom,vulnerable,semgrep_custom,0,2.758,1
UncheckedOperatorTransfer,vulnerable,semgrep_custom,0,2.578,1
BatchTransferFromMissingAuth,vulnerable,semgrep_custom,0,2.812,1
ApproveAndCallWrongSpender,vulnerable,semgrep_custom,0,2.735,1
InternalMoveExposed,vulnerable,semgrep_custom,0,2.864,1
RoleBypassTransfer,vulnerable,semgrep_custom,0,1.230,1
PermitNonceMissingTransfer,vulnerable,semgrep_custom,0,2.804,1
DelegatedTransferMissingAuth,vulnerable,semgrep_custom,0,2.826,1
VaultWithdrawFromMissingAuth,vulnerable,semgrep_custom,0,2.691,1
NFTTransferFromMissingApproval,vulnerable,semgrep_custom,0,2.683,1
ERC1155TransferMissingOperator,vulnerable,semgrep_custom,0,2.683,1
SafeTransferFromWithAllowance,safe,semgrep_custom,0,2.920,1
SafeBurnFromWithAllowance,safe,semgrep_custom,0,2.928,1
SafeBatchTransferFrom,safe,semgrep_custom,0,2.771,1
SafeInternalMove,safe,semgrep_custom,0,2.759,1
SafeRoleCheckedTransfer,safe,semgrep_custom,0,2.660,1
OZERC20MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.880,1
OZERC20WrongAllowanceOwnerRealCrop,vulnerable,semgrep_custom,0,1.328,1
OZERC20AllowanceNotDecreasedRealCrop,vulnerable,semgrep_custom,0,2.720,1
OZERC20PublicBurnFromRealCrop,vulnerable,semgrep_custom,0,2.766,1
OZERC20PermitNoSignatureRealCrop,vulnerable,semgrep_custom,0,2.796,1
UniswapV2MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.779,1
UniswapV2WrongAllowanceOwner,vulnerable,semgrep_custom,0,2.781,1
UniswapV2AllowanceNotDecreased,vulnerable,semgrep_custom,0,2.725,1
SolmateERC20MissingAllowanceTransferFrom,vulnerable,semgrep_custom,0,2.865,1
SolmateERC20PublicBurnFrom,vulnerable,semgrep_custom,0,2.852,1
OZERC721MissingApprovalTransferFrom,vulnerable,semgrep_custom,0,2.776,1
OZERC721WrongOperatorDirection,vulnerable,semgrep_custom,0,2.779,1
OZERC721PublicBurnFrom,vulnerable,semgrep_custom,0,1.262,1
SolmateERC721MissingApprovalTransferFrom,vulnerable,semgrep_custom,0,2.799,1
SolmateERC721WrongOperatorDirection,vulnerable,semgrep_custom,0,2.642,1
OZERC1155MissingOperatorSafeTransfer,vulnerable,semgrep_custom,0,2.792,1
OZERC1155WrongOperatorDirection,vulnerable,semgrep_custom,0,2.708,1
OZERC1155BatchMissingOperatorRealCrop,vulnerable,semgrep_custom,0,2.641,1
OZERC4626WithdrawMissingOwnerAuth,vulnerable,semgrep_custom,0,2.732,1
OZERC4626WithdrawWrongOwnerAuth,vulnerable,semgrep_custom,0,2.363,1
OZERC4626WithdrawAllowanceNotDecreased,vulnerable,semgrep_custom,0,2.869,1
AccessControlRoleBypassTransferRealCrop,vulnerable,semgrep_custom,0,2.719,1
AccessControlWrongRoleTransferRealCrop,vulnerable,semgrep_custom,0,2.682,1
CompoundStyleTransferFromWrongSpender,vulnerable,semgrep_custom,0,2.753,1
AaveVaultWithdrawFromMissingAuth,vulnerable,semgrep_custom,0,1.206,1
OZERC20SafeTransferFromRealCrop,safe,semgrep_custom,0,2.725,1
UniswapV2SafeTransferFromRealCrop,safe,semgrep_custom,0,2.758,1
SolmateERC20SafeTransferFromRealCrop,safe,semgrep_custom,0,2.716,1
OZERC20SafeBurnFromAllowanceRealCrop,safe,semgrep_custom,0,2.720,1
OZERC20SafePermitTransferRealCrop,safe,semgrep_custom,0,2.832,1
OZERC721SafeTransferFromRealCrop,safe,semgrep_custom,0,2.773,1
OZERC721SafeOperatorTransferRealCrop,safe,semgrep_custom,0,2.882,1
SolmateERC721SafeTransferRealCrop,safe,semgrep_custom,0,2.830,1
OZERC1155SafeTransferRealCrop,safe,semgrep_custom,0,2.840,1
OZERC1155SafeBatchTransferRealCrop,safe,semgrep_custom,0,2.911,1
OZERC1155SafeOperatorRealCrop,safe,semgrep_custom,0,2.840,1
OZERC4626SafeWithdrawFromRealCrop,safe,semgrep_custom,0,1.241,1
OZERC4626SafeRedeemFromRealCrop,safe,semgrep_custom,0,2.795,1
AccessControlSafeRoleTransferRealCrop,safe,semgrep_custom,0,2.905,1
VaultSafeDelegatedWithdrawRealCrop,safe,semgrep_custom,0,2.902,1
