sample,type,method,status,seconds,output
VaultWithdrawFromMissingAuth,vulnerable,smartbugs2_slither,0,7.086,reports/publish_exp/smartbugs2_slither/VaultWithdrawFromMissingAuth.txt
VaultWithdrawFromMissingAuth,vulnerable,smartbugs2_semgrep_custom,7,1.731,reports/publish_exp/smartbugs2_semgrep_custom/VaultWithdrawFromMissingAuth.json
NFTTransferFromMissingApproval,vulnerable,smartbugs2_slither,0,5.167,reports/publish_exp/smartbugs2_slither/NFTTransferFromMissingApproval.txt
NFTTransferFromMissingApproval,vulnerable,smartbugs2_semgrep_custom,7,1.774,reports/publish_exp/smartbugs2_semgrep_custom/NFTTransferFromMissingApproval.json
ERC1155TransferMissingOperator,vulnerable,smartbugs2_slither,0,4.712,reports/publish_exp/smartbugs2_slither/ERC1155TransferMissingOperator.txt
ERC1155TransferMissingOperator,vulnerable,smartbugs2_semgrep_custom,7,1.759,reports/publish_exp/smartbugs2_semgrep_custom/ERC1155TransferMissingOperator.json
SafeTransferFromWithAllowance,safe,smartbugs2_slither,0,7.729,reports/publish_exp/smartbugs2_slither/SafeTransferFromWithAllowance.txt
SafeTransferFromWithAllowance,safe,smartbugs2_semgrep_custom,7,1.743,reports/publish_exp/smartbugs2_semgrep_custom/SafeTransferFromWithAllowance.json
SafeBurnFromWithAllowance,safe,smartbugs2_slither,0,5.472,reports/publish_exp/smartbugs2_slither/SafeBurnFromWithAllowance.txt
SafeBurnFromWithAllowance,safe,smartbugs2_semgrep_custom,7,1.692,reports/publish_exp/smartbugs2_semgrep_custom/SafeBurnFromWithAllowance.json
SafeBatchTransferFrom,safe,smartbugs2_slither,0,4.383,reports/publish_exp/smartbugs2_slither/SafeBatchTransferFrom.txt
SafeBatchTransferFrom,safe,smartbugs2_semgrep_custom,7,1.701,reports/publish_exp/smartbugs2_semgrep_custom/SafeBatchTransferFrom.json
SafeInternalMove,safe,smartbugs2_slither,0,4.795,reports/publish_exp/smartbugs2_slither/SafeInternalMove.txt
SafeInternalMove,safe,smartbugs2_semgrep_custom,7,1.713,reports/publish_exp/smartbugs2_semgrep_custom/SafeInternalMove.json
SafeRoleCheckedTransfer,safe,smartbugs2_slither,0,6.338,reports/publish_exp/smartbugs2_slither/SafeRoleCheckedTransfer.txt
SafeRoleCheckedTransfer,safe,smartbugs2_semgrep_custom,7,1.726,reports/publish_exp/smartbugs2_semgrep_custom/SafeRoleCheckedTransfer.json
